TG,Common Name,Class,Order,Family,Genus,Species,q,r,Vr,CVN,MA-Yr,RW-Yr,EX-Yr,RL-Yr,GL-Yr,TL-Yr,MA-G,RW-G,EX-G,RL-G,GL-G,TL-G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Ram,Common toad,Amphibia,Anura,Bufonidae,Bufo,bufo,8,0.081,0.117,0.198,6.03,9.59,5.38,4.8,4.89,4.55,7.23,13.76,7.02,4.98,5.03,4.72,0,4.787,0,0.4,0.524,0.667,60,120,,2,36,180,,,1,3,1,1,2,1,1,1,,2500,2,5,1,2,LC,1
Ram,Yosemite toad,Amphibia,Anura,Bufonidae,Bufo,canorus,11,-0.063,0.359,0.567,13.67,13.76,18.7,6.91,6.68,6.25,7.72,21.62,20.72,7.93,7.58,6.84,1,4.174,0.25,0.8,0.643,0.833,20,65,,2,40,180,,,1,4,1,1,3,2,2,2,,2000,3,5,1,2,EN,2
Ram,Southern toad,Amphibia,Anura,Bufonidae,Bufo,terrestris,15,-0.087,3.43,1.101,9.15,20.72,20.72,10.3,8.92,8.59,10.57,20.72,20.72,12.17,10.22,9.98,0,4.382,0.25,0.4,0.5,0.667,60,80,,2,24,120,,,1,4,1,1,2,1,1,2,,2500,2,4,1,2,LC,1
Ram,Spring peeper,Amphibia,Anura,Hylidae,Pseudacris,crucifer,15,0,2.525,1.13,7.62,20.72,20.72,4.49,8.05,7.99,8.18,20.72,20.72,4.5,8.7,8.53,0,3.555,0.25,0.4,0.619,0.5,5,35,,2,12,48,,,1,5,1,1,2,1,1,2,,800,2,4,1,2,LC,1
Ram,Southern chorus frog,Amphibia,Anura,Hylidae,Pseudacris,nigrita,15,-0.221,0.407,1.069,13.48,14.68,20.72,4.49,14.81,14.83,13,14.2,20.72,4.5,13.93,14.82,0,3.219,0.25,0.4,0.5,0.5,5,25,,2,12,36,,,1,4,1,1,2,1,1,2,,200,2,4,1,2,LC,1
Ram,Ornate chorus frog,Amphibia,Anura,Hylidae,Pseudacris,ornata,15,-0.107,2.053,1.088,10.2,20.72,20.72,19.39,9.03,8.74,9.42,20.72,20.72,4.5,10.12,9.4,0,3.401,0.5,0.4,0.643,0.667,2,30,,2,12,72,,,1,4,1,1,2,1,1,3,,200,2,5,1,2,LC,1
Ram,Pacific chorus frog,Amphibia,Anura,Hylidae,Pseudacris,regilla,14,0.348,5.739,0.531,13.55,20.72,20.72,18.97,8.29,19.8,13.65,20.72,20.72,19.48,8.82,21.77,1,3.912,0.25,0.4,0.5,0.333,15,50,,2,10,36,,,1,4,1,1,2,1,1,2,,200,3,4,1,2,LC,1
Ram,Archey's frog,Amphibia,Anura,Leiopelmatidae,Leiopelma,archeyi,10,0.005,0.64,0.544,14.46,16.64,16.22,7.27,6.35,6.08,8.34,20.72,20.72,9.88,7.01,6.68,1,3.555,0.5,0.8,1,0.833,5,35,,2,40,120,,,1,4,1,1,3,2,3,3,,2500,3,5,2,2,CD,2
Ram,Eastern narrowmouth toad,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,15,-0.112,1.044,1.472,7.43,20.72,20.72,11.54,6.75,6.78,8.5,20.72,20.72,14.82,7.46,7.37,0,3.689,0.25,0.4,0.5,0.5,10,40,,2,24,60,,,1,4,1,1,2,1,1,2,,850,2,4,1,2,LC,1
Ram,Eastern spadefoot,Amphibia,Anura,Pelobatidae,Scaphiopus,holbrooki,13,-0.13,1.696,1.106,9.59,20.72,20.72,11.71,8.23,7.3,12.61,20.72,20.72,17.77,9.16,7.95,0,4.094,0.25,0.4,0.643,0.667,15,60,,2,18,120,,,1,4,1,1,2,1,1,2,,2000,2,5,1,2,LC,1
Ram,Green Frog,Amphibia,Anura,Ranidae,Rana,clamitans,13,-0.282,2.301,1.096,13.21,20.72,20.72,17.78,11.24,9.05,10.72,20.72,20.72,4.48,13.87,10.33,0,4.382,0.25,0.4,0.643,0.667,20,80,,2,24,96,,,2,4,1,1,2,1,1,2,,4000,2,5,1,2,LC,1
Ram,Jumping frog,Amphibia,Anura,Ranidae,Rana,dalmatina,11,0.031,0.155,0.531,9.53,10.33,8.09,5.98,5.64,5.62,11.8,12.73,10.73,6.7,6.01,5.95,0,4.5,0.25,0.6,0.762,0.667,25,90,,2,24,120,,,2,5,1,1,3,1,1,2,,1200,2,5,1,2,LC,1
Ram,"Common frog, European Frog or Grass frog",Amphibia,Anura,Ranidae,Rana,temporaria,27,-0.008,0.083,0.291,5.36,8.65,9.27,5,4.76,4.87,5.74,10.48,11.09,5.21,4.91,4.99,0,4.605,0.25,0.4,0.643,0.667,22,100,,2,24,120,,,1,4,1,1,2,1,1,2,,2500,2,5,1,2,LC,1
Ram,Southern leopard frog,Amphibia,Anura,Ranidae,Rana,utricularia,15,-0.254,1.237,0.986,9.67,20.72,20.72,4.24,11.86,10.6,11.69,20.72,20.72,4.48,14.66,12.55,0,4.443,0.25,0.4,0.643,0.667,20,85,,2,24,96,,,1,4,1,1,2,1,1,2,,4000,2,5,1,2,LC,1
Ram,Eastern tiger salamander,Amphibia,Caudata,Ambystomatida,Ambystoma,tigrinum,13,-0.363,1.507,0.979,9.1,20.72,20.72,4.45,11.2,9.93,10.68,20.72,20.72,4.53,13.5,11.27,0,5.247,0.25,0.2,0.643,0.667,30,190,,2,18,120,,,5,4,1,1,1,1,1,2,,500,2,5,1,2,LC,1
Ram,Marbled salamander,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,13,0.337,2.451,0.886,9.62,20.72,11.2,9.53,9.26,8.44,11.59,20.72,18.21,10.36,10.45,9.26,0,4.7,0.25,0.4,0.643,0.833,10,110,,2,15,210,,,5,4,1,1,2,1,1,2,,100,2,5,1,2,LC,1
Ram,Mole salamander,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,15,0,2.45,0.969,7.06,20.72,20.72,8.73,6.91,7.19,7.59,20.72,20.72,9.72,7.4,7.7,0,4.7,0.25,0.4,0.643,0.667,5,110,,2,15,120,,,5,4,1,1,2,1,1,2,,200,2,5,1,2,LC,1
Ram,Seepage salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,aeneus,14,0.016,0.275,0.526,8.85,12.31,11.11,5.84,5.92,5.44,8.51,20.72,18.86,6.48,6.67,5.93,0,3.689,0.25,0.2,0.643,1,3.5,40,,2,54,180,,,5,4,1,1,1,1,1,2,,14,2,5,1,2,LC,1
Ram,Seal salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,14,0.008,0.17,0.283,4.84,10.57,9.95,4.91,4.72,4.76,5.17,18.9,17.47,5.19,4.94,5,0,4.605,0.5,0.4,0.643,1,10,100,,2,60,120,,,5,4,1,1,2,1,1,3,,15,2,5,1,2,LC,1
Ram,Mountain dusky salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,14,0.036,0.217,0.314,6.58,11.36,8.8,5.25,5.18,5.08,8.87,20.02,14.29,5.74,5.6,5.35,0,3.401,0.25,0.4,0.643,1,2,30,,2,54,120,,,5,4,1,1,2,1,1,2,,30,2,5,1,2,LC,1
Ram,Blackbelly salamander,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,14,-0.04,0.448,0.438,7.7,14.46,17.85,5.94,6.25,20.72,7.48,20.72,20.72,7.72,7.06,20.72,0,5.347,0.5,0.4,0.643,1,80,210,,2,60,180,,,5,4,1,1,2,1,1,3,,60,2,5,1,2,LC,1
Ram,Dwarf salamander,Amphibia,Caudata,Plethodontidae,Eurycea,quadridigitata,15,-0.154,1.697,2.639,16.42,20.72,20.72,17.88,10.87,20.72,6.26,20.72,20.72,4.36,13.46,20.72,0,4.248,0.5,0.4,0.643,0.833,2,70,,2,24,96,,,5,4,1,1,2,1,1,3,,60,2,5,1,2,LC,1
Ram,Redback salamander,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,10,-0.001,0.14,0.231,5.06,10.05,10,4.76,4.56,4.81,5.38,12.35,12.41,4.93,4.74,5.02,0,4.7,0.25,0.4,0.643,0.833,5,110,,2,24,180,,,5,4,1,1,2,1,1,2,,15,2,5,1,2,LC,1
Ram,Slimy Salamander,Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,14,0.068,0.754,0.478,8.12,17.8,12.91,7.39,6.51,6.28,7.51,20.72,20.72,7.82,7.29,7.13,0,4.605,0.25,0.4,0.643,0.833,5,100,,2,36,180,,,5,4,1,1,2,1,1,2,,12,2,5,1,2,LC,1
Ram,Jordan's salamander,Amphibia,Caudata,Plethodontidae,Plethodon,jordani,14,0.021,0.083,0.208,5.46,8.61,7.1,4.69,4.68,4.66,6.33,12.35,9.98,4.86,4.8,4.82,0,4.868,0.25,0.4,0.643,0.833,10,130,,2,36,180,,,5,4,1,1,2,1,1,2,,14,2,5,1,2,LC,1
Ram,Red-spotted newt,Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,15,0.092,1.074,1.215,11.39,20.54,13.67,10.08,6.79,6.87,8.31,20.72,20.72,13.98,7.46,7.6,0,4.97,0.25,0.4,0.643,0.667,50,144,,2,36,120,,,5,4,1,1,2,1,1,2,,300,2,5,1,2,LC,1
Ram,Palmate newt,Amphibia,Caudata,Salamandridae,Triturus,helveticus,16,-0.158,0.73,0.943,16.57,17.72,20.72,13.49,11.21,17.38,15.91,20.72,20.72,17.33,14.45,20.72,0,4.382,0.25,0.4,0.643,0.667,15,80,,2,24,108,,,1,4,1,1,2,1,1,2,,150,2,5,1,2,LC,1
Bir,Wood duck,Aves,Anseriformes,Anatidae,Aix,sponsa,13,-0.022,0.022,0.109,4.4,6.54,8.36,4.26,4.25,4.26,4.39,6.22,6.83,4.29,4.27,4.29,0,6.153,0.25,0.4,0.238,0.667,660,470,,2,10,180,,,3,3,1,1,2,1,1,2,,12,2,3,1,1,LC,1
Bir,Northern pintail,Aves,Anseriformes,Anatidae,Anas,acuta,47,-0.036,0.056,0.448,6.19,7.81,10.99,5.56,4.95,5.27,5.85,7.03,7.75,5.68,5.02,5.42,0,6.372,0,0.4,0.262,0.667,1010,585,,2,8,240,,,4,2,1,1,2,1,1,1,,8,1,4,1,1,LC,1
Bir,American widgeon,Aves,Anseriformes,Anatidae,Anas,americana,47,-0.007,0.028,0.187,4.54,6.78,7.33,4.53,4.42,4.56,4.62,6.25,6.53,4.66,4.47,4.68,0,6.174,0,0.4,0.119,0.667,755,480,,2,9,240,,,4,2,1,1,2,1,1,1,,8,2,3,1,2,LC,1
Bir,Northern shoveler,Aves,Anseriformes,Anatidae,Anas,clypeata,47,0.006,0.04,0.325,5.33,7.25,6.78,5.04,4.66,4.84,5.27,6.63,6.4,5.07,4.77,4.95,0,6.685,0,0.4,0.262,0.667,610,480,800,2,8,180,,,4,2,1,1,2,1,1,1,,10,2,4,1,2,LC,1
Bir,Green winged teal,Aves,Anseriformes,Anatidae,Anas,crecca,47,0.005,0.072,0.251,4.79,8.31,7.84,4.89,4.71,4.79,4.86,7.43,7.27,4.96,4.79,4.87,0,5.914,0,0.4,0.119,0.667,340,370,,2,8,180,,,3,2,1,1,2,1,1,1,,10,2,3,1,2,LC,1
Bir,Blue winged teal,Aves,Anseriformes,Anatidae,Anas,discors,47,-0.005,0.036,0.238,4.77,7.13,7.5,4.79,4.5,4.65,4.77,6.43,6.54,4.89,4.53,4.7,0,5.966,0,0.4,0.119,0.667,385,390,,2,8,180,,,4,2,1,1,2,1,1,1,,10,2,3,1,2,LC,1
Bir,Eurasian wigeon,Aves,Anseriformes,Anatidae,Anas,penelope,13,-0.07,0.637,0.507,14.67,16.69,20.72,7.71,7.23,13.76,13.35,14.17,16.11,8.14,7.55,20.84,0,6.234,0,0.4,0.119,0.667,772,510,,2,8,280,,,4,2,1,1,2,1,1,1,,9,2,3,1,2,LC,1
Bir,Mallard,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,47,-0.003,0.02,0.216,5,6.39,6.68,4.68,4.43,4.56,4.97,6.08,6.19,4.76,4.47,4.68,0,6.78,0,0.4,0.381,0.667,1082,580,880,2,10,180,,,3,3,1,1,2,1,1,1,,11,1,4,1,1,LC,1
Bir,Garganey,Aves,Anseriformes,Anatidae,Anas,querquedula,12,-0.1,0.769,0.448,13.38,17.78,20.72,7.83,6.88,6.37,13.2,15.76,18.59,8.63,7.24,6.63,0,6.461,0,0.4,0.262,0.667,326,390,640,2,9,180,,,4,2,1,1,2,1,1,1,,9,1,4,1,1,LC,1
Bir,Gadwall,Aves,Anseriformes,Anatidae,Anas,strepera,47,0.026,0.036,0.485,5.74,7.13,5.38,5.25,4.95,5.11,5.77,6.72,5.95,5.38,5.03,5.3,0,6.234,0,0.4,0.238,0.667,920,510,,2,10,180,,,4,3,1,1,2,1,1,1,,10,2,3,1,2,LC,1
Bir,Lesser scaup,Aves,Anseriformes,Anatidae,Aythya,affinis,47,-0.01,0.023,0.193,4.98,6.59,7.39,4.58,4.43,5.11,5.11,6.69,7.08,4.75,4.5,5.26,0,6.04,0,0.4,0.262,0.833,820,420,,2,14,120,,,4,2,1,1,2,1,1,1,,10,2,4,1,2,LC,1
Bir,Redhead,Aves,Anseriformes,Anatidae,Aythya,americana,47,0.001,0.041,0.248,4.86,7.26,7.2,4.86,4.56,4.73,4.99,7.19,7.1,4.99,4.73,4.84,0,6.174,0.25,0.4,0.119,0.833,1045,480,,2,12,180,,,4,2,1,1,2,1,1,2,,15,2,3,1,2,LC,1
Bir,Ring-necked duck,Aves,Anseriformes,Anatidae,Aythya,collaris,19,-0.094,1.382,0.794,8.76,20.72,20.72,9.42,8.51,7.1,10.41,20.72,20.72,12.02,9.44,7.56,0,6.064,0,0.4,0.119,0.833,705,430,,2,12,180,,,4,2,1,1,2,1,1,1,,10,2,3,1,2,LC,1
Bir,Tufted duck,Aves,Anseriformes,Anatidae,Aythya,fuligula,35,0.032,0.079,0.261,4.79,8.59,6.41,4.8,4.76,4.75,4.88,8.47,7.29,4.89,4.86,4.85,0,6.087,0,0.2,0.262,0.833,1200,440,,2,12,168,,,4,2,1,0,2,1,1,1,,10,2,4,1,2,LC,1
Bir,Canvasback,Aves,Anseriformes,Anatidae,Aythya,valisineria,47,-0.004,0.048,0.2,4.56,7.52,7.9,4.63,4.51,4.55,4.71,9,9.28,4.81,4.64,4.71,0,6.273,0,0.4,0.262,0.833,1219,530,,2,24,180,,,4,2,1,1,2,1,1,1,,10,2,4,1,2,LC,1
Bir,Dark-bellied brent goose,Aves,Anseriformes,Anatidae,Branta,bernicla bernicla,13,0.09,0.063,0.4,6.85,8.33,4.65,5.72,5.75,5.71,8.07,9.92,5.47,6.31,6.29,6.35,0,6.477,0.25,0.6,0.119,0.833,1725,650,,2,24,240,,,1,2,1,1,3,1,2,2,,6,2,3,1,2,LC,1
Bir,Brant goose or Brent goose,Aves,Anseriformes,Anatidae,Branta,bernicla nigricans,46,-0.01,0.656,0.598,6.07,16.69,17.48,7.28,6,6,6.59,20.72,20.72,8.98,6.46,6.43,0,7.048,0,0.6,0.119,0.833,1300,640,1150,2,24,240,,,1,2,1,1,3,1,2,1,,5,2,3,1,2,LC,1
Bir,Canada goose,Aves,Anseriformes,Anatidae,Branta,canadensis,20,0,0.028,0.173,5.67,6.79,6.79,4.57,4.45,4.52,6.28,7.88,7.81,4.76,4.54,4.61,0,7.313,0,0.4,0.119,0.833,3564,890,1500,2,24,240,,,1,2,1,1,2,1,1,1,,5,2,3,1,2,LC,1
Bir,Bufflehead,Aves,Anseriformes,Anatidae,Bucephala,albeola,37,0.053,0.679,0.617,6.61,17.11,13.17,7.64,6.02,6.35,7.32,19.69,16.83,9.17,6.44,6.77,0,5.829,0.25,0.4,0.262,0.833,404,340,,2,18,120,,,4,2,1,1,2,1,1,2,,9,2,4,1,2,LC,1
Bir,Greater Snow Goose,Aves,Anseriformes,Anatidae,Chen,caerulescens atlanticus,15,0.039,0.094,0.335,6.59,8.97,6.41,4.96,4.85,5.16,7.62,10.95,8.29,5.13,5.01,5.4,0,7.303,0,0.4,0,0.833,2631,750,1485,2,24,240,,,1,1,1,1,2,1,1,1,,5,2,3,1,2,LC,1
Bir,Lesser snow goose,Aves,Anseriformes,Anatidae,Chen,caerulescens caerulescens,26,0.069,0.014,0.603,4.51,6.34,4.12,4.95,4.78,5.1,4.79,7.12,4.39,5.19,5.02,5.47,0,6.551,0.25,0.4,0.119,0.833,2350,700,,2,24,240,,,1,2,1,1,2,1,1,2,,6,2,3,1,2,LC,1
Bir,Trumpeter Swan,Aves,Anseriformes,Anatidae,Cygnus,buccinator,84,-0.023,2.453,1.062,8.8,20.72,20.72,4.45,8.8,8.98,10.25,20.72,20.72,4.53,10.25,10.28,1,7.409,0.25,0.8,0.119,0.833,10000,1650,,2,36,280,,,4,2,1,1,3,2,2,2,,6,1,3,1,2,CD,2
Bir,Mute Swan,Aves,Anseriformes,Anatidae,Cygnus,olor,114,0.006,0.006,0.252,4.62,5.45,5.02,4.55,4.48,4.55,4.92,6.42,5.71,4.8,4.65,4.78,1,7.783,0,0.4,0.738,0.833,10735,1400,2400,2,36,280,,,4,3,1,1,2,1,1,1,,8,2,4,2,1,LC,2
Bir,Hooded merganser,Aves,Anseriformes,Anatidae,Mergus,cucullatus,13,0.069,0.318,0.49,8.54,12.96,8.42,5.67,6.27,5.56,10.43,16.75,12.15,6.01,6.9,5.81,0,6.363,0.25,0.4,0.381,0.833,610,450,580,2,24,120,,,4,3,1,1,2,1,2,2,,12,2,4,1,2,LC,1
Bir,Red-breasted merganser,Aves,Anseriformes,Anatidae,Mergus,serrator,13,0.003,0.894,0.571,6.84,18.89,18.51,7.05,5.93,6.04,7.14,19.3,18.21,7.35,6.23,6.38,0,6.659,0,0.2,0.381,0.833,1022,550,780,2,12,108,,,4,3,1,1,1,1,2,1,,8,2,4,1,2,LC,1
Bir,Ruddy duck,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,37,-0.01,0.784,0.585,6.1,18.03,18.89,8.27,6.04,6.2,6.43,17.67,17.94,10.16,6.39,6.45,0,6.354,0,0.4,0.381,0.833,545,380,575,2,12,120,,,4,3,1,1,2,1,1,1,,8,2,4,1,1,LC,1
Bir,Common eider,Aves,Anseriformes,Anatidae,Somateria,mollissima,10,-0.028,0.101,0.216,6.93,9.11,11.62,4.7,4.72,5.09,6.84,9.05,9.93,4.83,4.82,5.27,0,6.405,0,0.2,0.381,0.833,2067,605,,2,12,180,,,3,3,1,1,1,1,1,1,,5,2,4,1,2,LC,1
Bir,Broad-tailed hummingbird,Aves,Apodiformes,Trochilidae,Selasphorus,platycercus,9,-0.04,0.437,0.462,12.31,14.37,17.8,5.98,5.63,5.45,11.36,13.28,14.58,6.43,5.82,5.66,0,4.605,0.25,0.2,0.452,0.5,5,100,,2,10,96,,,4,3,1,1,1,1,2,2,,4,2,2,2,2,LC,1
Bir,Puffin,Aves,Charadriiformes,Alcidae,Fratercula,arctica,10,-0.094,0.01,0.367,11.85,6.37,14.57,8.66,4.45,4.68,14.35,7.86,17.76,10.59,4.58,4.95,0,6.31,0.25,0.2,0.881,0.667,381,310,550,2,36,240,,,1,3,1,1,1,1,1,2,,1,2,5,2,2,LC,1
Bir,Ringed Plover,Aves,Charadriiformes,Charadriidae,Charadrius,hiaticula,28,0.003,0.057,0.257,5.05,7.84,7.68,4.79,4.85,4.81,5.14,7.76,7.69,4.89,4.98,4.9,0,6.263,0,0.4,0.405,0.667,64,190,525,2,12,120,,,4,2,1,1,2,1,2,1,,3,2,5,1,2,LC,1
Bir,Grey Plover,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,20,0.09,0.032,0.518,5.05,7.28,4.28,5.07,5.08,5.15,5.28,7.13,4.69,5.22,5.26,5.3,0,6.646,0,0,0.262,0.667,220,280,770,2,12,240,,,4,2,1,0,1,1,1,1,,4,2,4,1,2,LC,1
Bir,Lapwing,Aves,Charadriiformes,Charadriidae,Vanellus,vanellus,45,-0.04,0.296,0.644,11.59,12.68,15.87,8.82,8.16,7.41,11.55,12.51,14.28,9.69,9.04,7.99,0,6.745,0,0.4,0.405,0.667,219,300,850,2,12,216,,,4,2,1,1,2,1,1,1,,4,2,5,1,2,LC,1
Bir,Eurasian oystercatcher,Aves,Charadriiformes,Haematopodidae,Haematopus,ostralegus,45,0.003,0.01,0.129,4.59,5.81,5.53,4.37,4.35,4.45,4.86,6.89,6.71,4.47,4.45,4.65,0,6.087,0,0.4,0.405,0.667,526,440,,2,36,240,,,4,2,1,1,2,1,1,1,,3,2,5,1,2,LC,1
Bir,South Polar Skua,Aves,Charadriiformes,Laridae,Catharacta,maccormicki,33,0.003,0.02,0.151,4.74,6.43,6.18,4.46,4.46,4.44,5.39,9.66,9.41,4.66,4.69,4.57,0,7.208,0,0.2,0.762,0.833,1156,535,1350,2,72,180,,,2,2,1,0,2,1,3,1,,2,2,5,2,2,LC,1
Bir,Kittiwake,Aves,Charadriiformes,Laridae,Rissa,tridactyla,35,0.081,0.046,0.474,4.71,7.67,4.49,4.7,4.71,4.72,4.83,7.49,5.15,4.79,4.83,4.83,0,6.846,0,0.2,0.405,0.667,407,390,940,2,12,240,,,1,2,1,0,2,1,1,1,,2,2,5,1,2,LC,1
Bir,Ruddy Turnstone ,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,20,0.022,0.012,0.161,4.83,6,4.7,4.38,4.34,4.36,5.01,6.26,5.25,4.46,4.42,4.44,0,6.282,0,0.2,0.405,0.667,115,230,535,2,18,240,,,4,2,1,1,1,1,1,1,,4,2,5,1,2,LC,1
Bir,Sanderling,Aves,Charadriiformes,Scolopacidae,Calidris,alba,20,0.014,0.038,0.176,4.53,7.17,6.18,4.45,4.42,4.42,4.58,7.1,6.58,4.51,4.47,4.48,0,5.914,0,0.4,0.286,0.667,57,205,370,2,12,120,,,4,1,1,1,2,1,2,1,,4,2,5,1,2,LC,1
Bir,Dunlin,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,20,0.017,0.017,0.192,5.46,6.25,5.13,4.52,4.49,20.72,5.36,5.88,5.43,4.59,4.55,20.72,0,5.9,0,0.4,0.143,0.5,47,190,365,2,10,240,,,4,1,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Bir,Red knot,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,20,-0.008,0.025,0.194,5.44,6.6,7.28,4.52,4.48,4.48,5.9,7.53,8.16,4.69,4.57,4.64,0,6.205,0,0.4,0.286,0.667,137,240,495,2,24,168,,,4,1,1,1,2,1,2,1,,3,2,5,1,2,LC,1
Bir,Bar-tailed godwit,Aves,Charadriiformes,Scolopacidae,Limosa,lapponica,20,0.006,0.031,0.126,4.36,6.94,6.48,4.35,4.33,4.34,4.44,8.07,7.62,4.4,4.41,4.42,0,6.62,0,0.4,0.262,0.667,343,390,750,2,24,240,,,4,2,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Bir,Black-tailed godwit,Aves,Charadriiformes,Scolopacidae,Limosa,limosa,20,0.053,0.045,0.322,5.38,7.53,4.92,4.83,4.73,4.76,5.41,7.06,5.64,4.96,4.79,4.81,0,6.633,0,0.4,0.262,0.5,291,400,760,2,10,216,,,4,2,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Bir,Eurasian curlew,Aves,Charadriiformes,Scolopacidae,Numenius,arquata,20,0.015,0.013,0.122,4.57,6.05,5.05,4.31,4.28,4.29,4.59,5.93,5.39,4.34,4.32,4.33,0,6.802,0,0.4,0.262,0.667,600,550,900,2,12,240,,,4,2,1,1,2,1,1,1,,4,2,4,1,2,LC,1
Bir,Woodcock,Aves,Charadriiformes,Scolopacidae,Scolopax,rusticola,94,0.023,0.278,0.494,5.53,12.37,10.56,5.8,5.55,5.38,5.73,12.18,11.3,6.05,5.74,5.61,0,6.363,0,0.4,0.619,0.667,310,340,580,2,12,180,,,5,2,1,1,2,1,1,1,,4,2,4,2,2,LC,1
Bir,Greenshank,Aves,Charadriiformes,Scolopacidae,Tringa,nebularia,18,0,0.099,0.277,7.11,9.12,9.01,5.12,5.16,5.03,7.3,9.31,9.3,5.29,5.35,5.13,0,6.537,0,0,0.262,0.667,174,330,690,2,14,120,,,4,2,1,0,1,1,2,1,,4,2,4,1,2,LC,1
Bir,Redshank,Aves,Charadriiformes,Scolopacidae,Tringa,totanus,20,0.018,0.017,0.144,4.47,6.26,5.08,4.34,4.32,4.33,4.54,6.28,5.58,4.39,4.37,4.37,0,6.438,0,0.4,0.405,0.833,129,280,625,2,14,120,,,4,2,1,1,2,1,2,1,,8,2,5,1,2,LC,1
Bir,Grey heron,Aves,Ciconiiformes,Ardeidae,Ardea,cinerea,70,0.005,0.01,0.174,5,5.76,5.39,4.57,4.39,4.54,5.36,6.35,6.06,4.82,4.48,4.71,1,7.523,0,0.4,0.524,0.667,1443,940,1850,2,24,360,,,1,3,1,1,2,1,1,1,,4,3,5,1,1,LC,1
Bir,Purple heron,Aves,Ciconiiformes,Ardeidae,Ardea,purpurea,18,-0.005,0.075,0.199,5.14,8.44,8.84,4.65,4.66,4.77,5.41,9.84,10.17,4.83,4.7,4.91,1,7.208,0,0.4,0.405,0.667,874,840,1350,2,22,300,,,1,2,1,1,2,1,3,1,,3,3,5,1,2,LC,1
Bir,White stork,Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,41,-0.056,0.067,0.836,10.26,8.35,13.16,12.71,7.45,7.5,13.1,12.3,20.72,20.38,10.53,10.25,1,7.378,0,0.4,0.286,0.833,3473,1010,1600,2,48,216,,,2,1,1,1,2,1,1,1,,4,2,5,1,2,LC,2
Bir,Crested ibis,Aves,Ciconiiformes,Threskiornithidae,Nipponia,nippon,16,0.13,0.061,0.354,4.88,8.57,4.36,4.75,4.84,4.76,5.05,8.43,4.9,4.84,5.03,4.8,1,6.504,0.5,1,1,0.667,1200,668,,2,12,240,,,4,4,1,1,3,3,6,3,,3,2,5,2,2,EN,2
Bir,Stock pigeon,Aves,Columbiformes,Columbidae,Columba,oenas,12,0.341,0.217,0.716,5.09,13.46,4.39,4.97,5.13,4.95,5.29,15.28,5.14,5.15,5.32,5.13,0,5.799,0.25,0.4,0.238,0.833,291,330,,2,18,144,,,4,3,1,1,2,1,2,2,,5,2,3,1,2,LC,1
Bir,Common wood-pigeon,Aves,Columbiformes,Columbidae,Columba,palumbus,24,0.021,0.254,0.727,10.87,12.07,10.44,7.74,8.14,7.08,13.39,15.08,12.51,9.22,9.82,7.95,0,5.991,0,0.2,0.381,0.667,490,400,,2,24,180,,,4,3,1,1,1,1,1,1,,4,1,4,1,1,LC,1
Bir,Mourning dove,Aves,Columbiformes,Columbidae,Zenaida,macroura,27,-0.026,2.063,1.151,17.04,20.72,20.72,19.46,15.85,13.13,13.08,20.72,20.72,4.44,19.91,17.53,0,5.737,0.25,0,0.119,0.667,119,310,,2,18,180,,,4,2,1,0,1,1,1,2,,4,2,3,1,2,LC,1
Bir,Pink pigeon,Aves,Columbiformes ,Columbidae ,Columba,mayeri,12,-0.075,0.083,0.338,9.1,8.73,15.27,5.21,5.19,5.03,9.4,9.74,13.71,5.4,5.42,5.17,1,5.991,1,0.8,0.357,0.667,300,400,,2,18,150,,,4,4,1,1,3,2,5,5,,2,2,3,1,2,EN,2
Bir,Yellow billed cuckoo,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,39,0.018,0.564,0.521,6.42,15.75,14.56,6.52,6.48,5.91,6.62,12.14,11.73,6.6,6.76,5.96,0,5.58,0,0.2,0.405,0.667,64,265,,2,6,81,,,4,2,1,1,1,1,2,1,,5,2,5,1,2,LC,1
