internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22708218,Monticola imerina,"Pseudocossyphus imerinus imerinus Sibley and Monroe (1990, 1993)",Pseudocossyphus imerinus,imerinus,"Sibley and Monroe (1990, 1993)",,
22717018,Eremopterix hova,"Mirafra hova Hartlaub, 1860",Mirafra,hova,"Hartlaub, 1860",,
22713039,Xanthomixis cinereiceps,Phyllastrephus cinereiceps ssp. cinereiceps — BirdLife International (2000),Phyllastrephus,cinereiceps,,subspecies,— BirdLife International (2000)
22713039,Xanthomixis cinereiceps,Phyllastrephus cinereiceps ssp. cinereiceps — Collar et al. (1994),Phyllastrephus,cinereiceps,,subspecies,— Collar et al. (1994)
22713039,Xanthomixis cinereiceps,Phyllastrephus cinereiceps ssp. cinereiceps —  Collar and Andrew (1988),Phyllastrephus,cinereiceps,,subspecies,—  Collar and Andrew (1988)
22713039,Xanthomixis cinereiceps,"Phyllastrephus cinereiceps ssp. cinereiceps — Sibley and Monroe (1990, 1993)",Phyllastrephus,cinereiceps,,subspecies,"— Sibley and Monroe (1990, 1993)"
22713039,Xanthomixis cinereiceps,"Bernieria cinereiceps (Sharpe, 1881)",Bernieria,cinereiceps,"(Sharpe, 1881)",,
22716763,Oxylabes madagascariensis,"Hypositta perdita Peters, 1996",Hypositta,perdita,"Peters, 1996",,
22712995,Xanthomixis zosterops,"Phyllastrephus zosterops zosterops Sibley and Monroe (1990, 1993)",Phyllastrephus zosterops,zosterops,"Sibley and Monroe (1990, 1993)",,
22712995,Xanthomixis zosterops,"Bernieria zosterops (Sharpe, 1875)",Bernieria,zosterops,"(Sharpe, 1875)",,
22712985,Bernieria madagascariensis,"Phyllastrephus madagascariensis madagascariensis Sibley and Monroe (1990, 1993)",Phyllastrephus madagascariensis,madagascariensis,"Sibley and Monroe (1990, 1993)",,
22690000,Gactornis enarratus,"Caprimulgus enarratus Gray, 1871",Caprimulgus,enarratus,"Gray, 1871",,
22689425,Athene superciliaris,"Ninox superciliaris (Vieillot, 1817)",Ninox,superciliaris,"(Vieillot, 1817)",,
103804241,Cinnyris notatus,"Nectarinia notata (Müller, 1776)",Nectarinia,notata,"(Müller, 1776)",,
22714564,Bradypterus brunneus,"Dromaeocercus brunneus Sharpe, 1877",Dromaeocercus,brunneus,"Sharpe, 1877",,
