mass_1,mass_2,mass_3,mass_4,mass_5,mass_6,mass_7,mass_8,mass_9,mass_10,mass_11,mass_12,mass_13,mass_14,mass_15,mass_16,mass_17,mass_18,mass_19,mass_20,mass_21,mass_22,mass_23,mass_24,mass_25,mass_26,mass_27,mass_28,mass_29,mass_30,mass_31
3690.0545866762145,3458.6702068516383,3252.784454217027,3115.106322930222,2972.573425100622,2829.8302805916037,2686.8422118660446,2573.599019439343,2455.642944097519,2366.6649451988606,2227.458042738332,2151.7447028979595,2044.452840160784,1980.0985096724846,1887.3630355907237,1839.4936966071757,1745.1386644199833,1705.6746380511083,1639.650077440931,1585.5903485225192,1515.9548684018428,1461.5343223095715,1422.1054839958986,1374.127075159152,1331.51945872478,1284.790233327079,1244.3279216411606,1208.360737583996,1176.9100618274097,1136.1945515918546,1103.6984277342535
4296.32078502202,4017.021023033785,3768.592631002824,3600.0229807396904,3424.852132081499,3254.0785820820993,3082.75791686008,2945.1070620783203,2804.3653371090036,2693.9198562950382,2531.9869736762403,2439.7597227733513,2313.5898001807354,2234.2050972111506,2125.1008109055256,2064.795660190385,1956.0796462881658,1905.6007749062067,1828.0397472676154,1763.8211816311966,1682.8239931122857,1618.2837296110706,1570.5349390688261,1514.4498332263902,1464.3411530441977,1409.5698396853008,1362.3225018583296,1319.359954329857,1282.144586984518,1235.4471393261585,1197.5558102196828
4683.469556165784,4373.26505909041,4097.407853450668,3908.755441817286,3712.3355960282593,3523.6004126431367,3334.1083882364014,3180.672608918389,3025.3610140011256,2900.904316107661,2724.720155790425,2621.8126857278194,2483.697785338417,2394.541577730397,2275.07706059462,2206.631443058045,2088.9807831245016,2031.2641461546102,1946.4115015183324,1875.72641259172,1787.6004259377903,1716.626020150822,1663.5307942635459,1602.3409666166378,1547.4900638510196,1487.6460306852439,1436.1300243714504,1388.7073983134148,1347.8363669513087,1297.4273387075307,1256.1457986369976
4994.057279125402,4658.905159131019,4360.911724229269,4155.969468154313,3942.2991701975993,3739.1235874747845,3535.014636172099,3368.8167907178026,3201.8072726324267,3065.9604364207917,2878.4732166625786,2766.9312309332086,2619.2885957182993,2522.208055144062,2394.4784087517523,2319.4046380846876,2194.7030198247594,2131.080397925364,2040.4158058114879,1964.5538667745889,1870.7716361932949,1794.6500274519215,1737.2500629255885,1672.000915075977,1613.3696438730578,1549.48747507519,1494.5788915419657,1443.582446699455,1399.7918307137124,1346.4585274873953,1302.4846197750871
5264.072115608518,4907.127732046891,4589.801591263342,4370.577989661723,4141.774751531099,3926.0246917360614,3709.182313731799,3531.8239153565055,3354.6385415514005,3208.7901891463025,3011.5629728407553,2892.4705463956884,2736.5815605631597,2632.555632976251,2497.6714862993254,2416.7712215993993,2286.017212670761,2217.1947225303347,2121.5026127964466,2041.147586849942,1942.4897204813803,1861.9032360161393,1800.750963288455,1731.9967073268374,1670.0950335221437,1602.7232369564267,1544.8865319515073,1490.7862899788852,1444.4664267502474,1388.6260821193578,1342.3297681797615
5508.78771046826,5132.014517047366,4797.100399108192,4564.843324718393,4322.222523520746,4095.0607898695284,3866.658574572678,3679.136010916879,3492.7237469839783,3337.7365188384047,3131.7469754721174,3005.7787427332546,2842.443756489553,2732.081198819708,2590.7362283170223,2504.5075394251735,2368.3263312776626,2294.7425081394563,2194.512948532378,2110.091610084908,2007.0462609663748,1922.4208609686377,1857.8606837104276,1785.9477478512263,1721.0942913385165,1650.5756665086017,1590.1012012525866,1533.1905524481624,1484.585261452452,1426.4991108812712,1378.1117185404041
5736.283375784876,5341.01314978007,4989.6946907283755,4745.2482742699485,4489.699380357242,4251.916599577976,4012.752299901475,3815.74107370597,3620.7476489764363,3457.204743535257,3243.121922243085,3110.7353901274437,2940.5007344337705,2824.2137794341106,2676.8814694556027,2585.6610207160866,2444.481245926403,2366.432242840215,2261.9998877038665,2173.803144716315,2066.704270871057,1978.3304075116343,1910.5965395259052,1835.76172537469,1768.1740751550624,1694.7428542284865,1631.8291528922434,1572.3080703856613,1521.5837617696557,1461.4309619941696,1411.1107042303001
5951.41782235295,5538.601800170407,5171.724639747921,4915.689437903906,4647.844906318681,4400.007751577756,4150.652929178988,3944.635137014009,3741.523878435599,3569.8397827911017,3348.14770455957,3209.6695090254393,3032.9289931040553,2911.0113075746654,2758.0329251582875,2662.0598767018705,2516.1924780532963,2433.888372743514,2325.4945779905725,2233.7316749286356,2122.820781496507,2030.9074751429719,1960.1677883627963,1882.5821274816733,1812.4172182899158,1736.2424798577429,1671.032977556737,1609.0452684031984,1556.3218543843761,1494.2324400172579,1442.0936801681873
6157.374090114816,5727.713763158732,5345.901733770287,5078.718218640275,4799.0415421266525,4541.569881358075,4282.447802836168,4067.77855248161,3856.8932645117948,3677.3715076692692,3448.43335235273,3304.104201523597,3121.1518731127976,2993.819202718911,2835.449530021583,2734.8988828538495,2584.5780393378195,2498.1722315267616,2385.9973399215805,2290.8240527422404,2176.28225828166,2080.985223144633,2007.3640816854975,1927.1556218095793,1854.530721611639,1775.738951231792,1708.3410851364447,1643.9937723072585,1589.3607407744125,1525.4327198467201,1471.5611734271456
6356.370764309512,5910.393214458731,5514.115262045375,5236.1119390487,4944.9484032567725,4678.159714911226,4409.590201349161,4186.535877540577,3968.1370380673125,3781.0034913819504,3545.09849170195,3395.099060941121,3206.159552753934,3073.5731515287257,2910.0067907164334,2805.008620996101,2650.415256766875,2560.021431956315,2444.20334153566,2345.7382031950483,2227.7046712815604,2129.142499568513,2052.7339112378495,1970.0008176001354,1895.0055987742996,1813.6936624643492,1744.1898478062883,1677.564326315345,1621.0899884205369,1555.3991597789375,1499.8606336210016
