Species,Mass,r
Otolemur crassicaudatus,1110.1968736234778,0.32002948083689997
Otolemur garnettii,908.2386932603843,0.40802801916755727
Gorilla gorilla,109169.16788093647,0.056000252730471746
Pan troglodytes,40271.703432545946,0.06692524766046483
Pongo pygmaeus,45279.330838716945,0.04000276279815829
Hylobates lar,5296.634438916581,0.07199295286960415
Hylobates syndactylus,10171.85123683214,0.07199295286960415
Propithecus verreauxi,3460.9872548535277,0.19199503014479039
Eulemur fulvus,2331.309857418028,0.18398820693489612
Eulemur macaco,2296.148648112363,0.2399882544952634
Lemur catta,2327.5552565542803,0.21601802295105915
Varecia variegata,3261.3694594087888,0.3680357331147825
Arctocebus calabarensis,255.7996818555016,0.5199840077464202
Loris tardigradus,261.6375055985819,0.4480123510092453
Perodicticus potto,1000.2302850208252,0.27201320464325685
Tarsius spectrum,182.4735830762581,0.5199840077464202
Loxodonta africana,3599150.4399995366,0.03242574678874573
Agouti paca,8782.132798980061,0.5360310990462048
Aplodontia rufa,662.9793476706678,0.4000276279815828
Chinchilla lanigera,552.2045744453593,0.9824036943910306
Dasyprocta leporina,2670.5456121918987,0.8800148220049767
Erethizon dorsatum,6980.716486330289,0.32002948083689997
Hydrochaeris hydrochaeris,35751.97187450261,0.5519376078752379
Clethrionomys glareolus,19.642646458798552,5.476334746867842
Microtus agrestis,30.62668558003769,4.172438912279006
Microtus californicus,45.498806015004845,3.6956427903997224
Microtus oeconomus,49.68210633313914,3.6956427903997224
Microtus pennsylvanicus,38.806100135487,4.800538830912932
Microtus townsendii,53.57966575133417,4.945269760463935
Mus musculus,17.402033485388362,3.8158385129537713
Phyllotis darwini,47.02188120918429,2.3998825449526344
Octodon degus,179.34942968627018,2.6466102308455826
Cynomys ludovicianus,1018.3568757197843,0.6079809714888299
Spermophilus parryii,625.0287580151303,0.7040280893498583
Tamiasciurus hudsonicus,204.4089936002382,1.3200488010561822
Tupaia glis,157.5433224071111,0.8400206976887076
Bradypus tridactylus,3008.153543944214,0.20801276505322175
Dasypus novemcinctus,3688.0771722615455,0.5560194540710375
Euphractus sexcinctus,5472.679310676925,0.6319605770686532
Priodontes maximus,44647.79341129965,0.47205215759653296
Tolypeutes matacus,1114.0379873306179,0.3440249869044355
Choloepus didactylus,5018.801279032415,0.11199277012546743
Myrmecophaga tridactyla,28661.571574642017,0.2800206033267471
Tamandua tetradactyla,4314.197273268735,0.3839635399455556
