Mass,sigma,Scientific,English,SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Diet_Inv,Diet_Vend,Diet_Vect,Diet_Vfish,Diet_Vunk,Diet_Scav,Diet_Fruit,Diet_Nect,Diet_Seed,Diet_PlantO,Diet_5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment,Diet_VertFishScav,Diet_FruiNect,Diet_PlantSeed,Diet_AllAnimals,Diet_AllPlants
1300,0.8099382692526635,branta bernicla nigricans,brant goose or brent goose,616,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_1,A,Jennifer,0,40,60,0,0,0,0,0,Ref_1,1,Jessica,0,1277.91,Dunning08,1,NA,NA,0,0,100,0,100
3564,0.1673320053068151,branta canadensis,canada goose,613,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,10,0,0,90,PlantSeed,Ref_1,A,Jennifer,0,40,60,0,0,0,0,0,Ref_1,1,Jessica,0,2811.68,Dunning08,1,NA,NA,0,10,90,0,100
404,0.8240145629781066,bucephala albeola,bufflehead,760,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,70,0,0,20,0,0,0,0,10,0,Invertebrate,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,397.46,Dunning08,1,NA,NA,20,0,10,90,10
2631,0.3065941943351178,chen caerulescens atlanticus,greater snow goose,609,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,10,90,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Jessica,0,2636.15,Dunning08,1,NA,NA,0,0,100,0,100
2350,0.11832159566199232,chen caerulescens caerulescens,lesser snow goose,609,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,0,0,0,0,0,0,0,0,10,90,PlantSeed,Ref_1,A,Jennifer,0,20,80,0,0,0,0,0,Ref_1,1,Jessica,0,2636.15,Dunning08,1,NA,NA,0,0,100,0,100
10000,1.5662056059151366,cygnus buccinator,trumpeter swan,590,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,10,0,0,0,0,0,0,0,20,70,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,0,11071.13,Dunning08,1,NA,NA,0,0,90,10,90
10735,0.07745966692414834,cygnus olor,mute swan,586,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,10,0,10,0,0,0,0,0,0,80,PlantSeed,Ref_1,A,Jennifer,0,100,0,0,0,0,0,0,Ref_1,1,Jessica,0,10682.04,Dunning08,1,NA,NA,10,0,80,20,80
1022,0.9455157322858251,mergus serrator,red-breasted merganser,764,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,20,0,0,70,0,0,0,0,0,10,VertFishScav,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,0,1015.17,Dunning08,1,NA,NA,70,0,10,90,10
545,0.8854377448471462,oxyura jamaicensis,ruddy duck,573,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,60,0,0,0,0,0,0,0,40,0,Invertebrate,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,608.15,Dunning08,1,NA,NA,0,0,40,60,40
2067,0.3178049716414141,somateria mollissima,common eider,740,Nonpasseriformes,Anseriformes,Anatidae,"Ducks, geese and swans",14,BL3,70,0,0,10,0,0,10,0,0,10,Invertebrate,Ref_1,A,Jennifer,80,20,0,0,0,0,0,0,Ref_1,1,Jessica,0,2060.93,Dunning08,1,NA,NA,10,10,10,80,20
5,0.6610597552415364,selasphorus platycercus,broad-tailed hummingbird,2812,Nonpasseriformes,Apodiformes,Trochilidae,Hummingbirds,79,BL3,10,0,0,0,0,0,0,90,0,0,FruiNect,Ref_5,A,Hamish,0,0,0,80,20,0,0,0,Ref_5,1,Christian,0,3.54,Dunning08,1,NA,NA,0,90,0,10,90
381,0.1,fratercula arctica,puffin,4532,Nonpasseriformes,Charadriiformes,Alcidae,Auks,63,BL3,20,0,0,80,0,0,0,0,0,0,VertFishScav,Ref_3,A,Carolina,100,0,0,0,0,0,0,1,Ref_3,1,Jessica,0,593.01,Dunning08,1,NA,NA,80,0,0,100,0
64,0.23874672772626646,charadrius hiaticula,ringed plover,4236,Nonpasseriformes,Charadriiformes,Charadriidae,Plovers,54,BL3,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,64.04,Dunning08,1,NA,NA,0,0,0,100,0
220,0.17888543819998318,pluvialis squatarola,grey plover,4234,Nonpasseriformes,Charadriiformes,Charadriidae,Plovers,54,BL3,70,0,0,0,0,0,0,0,10,20,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,250,Dunning08,1,NA,NA,0,0,30,70,30
219,0.5440588203494178,vanellus vanellus,lapwing,4283,Nonpasseriformes,Charadriiformes,Charadriidae,Plovers,54,BL3,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,218.37,Dunning08,1,NA,NA,0,0,0,100,0
526,0.1,haematopus ostralegus,eurasian oystercatcher,4195,Nonpasseriformes,Charadriiformes,Haematopodidae,Oystercatchers,50,BL3,90,0,0,10,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,40,60,0,0,0,0,0,Ref_3,1,Morgane; Walter,0,526,Dunning08,1,NA,NA,10,0,0,100,0
1156,0.1414213562373095,catharacta maccormicki,south polar skua,4351,Nonpasseriformes,Charadriiformes,Stercorariidae,Skuas and jaegers,62,BL3,0,20,0,80,0,0,0,0,0,0,VertFishScav,Ref_3,A,Carolina,0,50,50,0,0,0,0,1,Ref_3,1,Jessica,0,1347.07,Dunning08,1,NA,NA,100,0,0,100,0
407,0.21447610589527216,rissa tridactyla,kittiwake,4440,Nonpasseriformes,Charadriiformes,Laridae,Gulls and terns,61,BL3,30,20,0,30,0,0,0,0,10,10,Omnivore,Ref_3,A,Carolina,100,0,0,0,0,0,0,1,Ref_3,1,Jessica,0,415.99,Dunning08,1,NA,NA,50,0,20,80,20
115,0.10954451150103323,arenaria interpres,ruddy turnstone,4110,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,80,0,0,0,0,0,0,0,0,20,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,135.98,Dunning08,1,NA,NA,0,0,20,80,20
57,0.19493588689617927,calidris alba,sanderling,4120,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,60,0,0,10,0,10,0,0,0,20,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,51.71,Dunning08,1,NA,NA,20,0,20,80,20
47,0.130384048104053,calidris alpina,dunlin,4135,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,80,0,0,0,0,0,0,0,0,20,Invertebrate,Ref_3,A,Carolina,0,20,80,0,0,0,0,0,Ref_3,1,Jessica,0,51.89,Dunning08,1,NA,NA,0,0,20,80,20
137,0.15811388300841897,calidris canutus,red knot,4118,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,80,0,0,10,0,0,0,0,10,0,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,141.87,Dunning08,1,NA,NA,10,0,10,90,10
343,0.17606816861659008,limosa lapponica,bar-tailed godwit,4076,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,80,0,0,0,0,0,10,0,10,0,Invertebrate,Ref_3,A,Carolina,0,50,50,0,0,0,0,0,Ref_3,1,Jessica,0,291.65,Dunning08,1,NA,NA,0,10,10,80,20
291,0.21213203435596426,limosa limosa,black-tailed godwit,4074,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,60,0,10,10,0,0,10,0,10,0,Invertebrate,Ref_3,A,Jennifer,0,50,50,0,0,0,0,0,Ref_3,1,Jessica,0,288.37,Dunning08,1,NA,NA,20,10,10,80,20
600,0.11401754250991379,numenius arquata,eurasian curlew,4087,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,40,0,0,0,0,0,30,0,30,0,Omnivore,Ref_3,A,Carolina,0,20,80,0,0,0,0,0,Ref_3,1,Jessica,0,802.99,Dunning08,1,NA,NA,0,30,30,40,60
310,0.5272570530585627,scolopax rusticola,woodcock,4034,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,70,0,0,0,0,0,10,0,10,10,Invertebrate,Ref_3,A,Carolina,0,20,80,0,0,0,0,0,Ref_3,1,Jessica,0,308.31,Dunning08,1,NA,NA,0,10,20,70,30
174,0.31464265445104544,tringa nebularia,greenshank,4094,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,80,10,0,10,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,60,40,0,0,0,0,0,Ref_3,1,Jessica,0,187,Dunning08,1,NA,NA,20,0,0,100,0
129,0.130384048104053,tringa totanus,redshank,4092,Nonpasseriformes,Charadriiformes,Scolopacidae,Sandpipers and allies,59,BL3,80,0,10,10,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,80,20,0,0,0,0,0,Ref_3,1,Jessica,0,129,Dunning08,1,NA,NA,20,0,0,100,0
1443,0.1,ardea cinerea,grey heron,5209,Nonpasseriformes,Pelecaniformes,Ardeidae,Herons and egrets,25,BL3,20,10,10,60,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,0,70,30,0,0,0,0,0,Ref_1,1,Morgane,0,1443,Dunning08,1,NA,NA,80,0,0,100,0
