Species,Mass,sigma,Common_Name
Clethrionomys rutilus,23,1.2541929676090517,Northern red-backed vole
Dicrostonyx groenlandicus,54,2.277279078198366,Collared lemming
Lemmus sibiricus,52,3.616766511678629,Siberian lemming or Brown lemming
Lemmus trimucronatus,55,2.4168160873347397,Brown lemming
Microtus agrestis,27,2.355419283269966,Field vole or Short-tailed vole
Microtus arvalis,25,1.100454451578983,Common vole
Microtus californicus,56,1.3300375934536588,California vole
Microtus gregalis,48,2.4089416763383875,Narrow-skulled vole
Microtus montanus,32,1.499333185119305,Montane vole
Microtus oeconomus,32,1.503662196106559,Root vole
Microtus oregoni,20,0.8740709353364863,Oregon vole
Microtus rossiaemeridionalis,20,1.8038846969803808,Sibling vole
Ondatra zibethicus,1000,0.216794833886788,Muskrat
Onychomys leucogaster,30,0.5882176467941097,Northern grasshopper mouse
Onychomys torridus,24,0.650384501660364,Southern grasshopper mouse
Peromyscus eremicus,22,0.985393322486001,Cactus mouse
Peromyscus maniculatus,22,0.6826419266350405,Deer mouse
Rattus norvegicus,290,0.6457553716385176,Brown rat or Norway rat.
Reithrodontomys megalotis,15,0.9833615815151617,Western harvest mouse
Myocastor coypus,8000,0.35777087639996635,Nutria or coypu
Cynomys ludovicianus,1500,0.15165750888103102,Black-tailed prairie dog
Glaucomys sabrinus,150,1.341268056728408,Northern flying squirrel
Marmota flaviventris,5685,0.260768096208106,Yellow-bellied Marmot
Marmota sibirica,8000,0.24289915602982237,Siberian marmot
Sciurus vulgaris,335,0.28982753492378877,European red squirrel
Spermophilus franklinii,444,0.575325994545701,Franklin's ground squirrel
Spermophilus tridecemlineatus,108,0.5966573556070519,Thirteen-line ground squirrel
Tamias minimus,43,1.1751595636338072,Eastern chipmunk or least chipmunk
Tamias striatus,105,1.010940156488009,Eastern chipmunk
Tamias townsendii,74,0.9539392014169457,Townsend's chipmunk
Tamiasciurus hudsonicus,184,0.7848566748139434,American red squirrel
Blarina brevicauda,17,1.521512405470294,Short-tailed shrew
Sorex cinereus,4,1.5585249436566615,Masked shrew
